scenario,year,B,C,I,T,seg,clusters,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage,demand:H2 for industry,demand:land transport fuel cell,demand:Fischer-Tropsch,demand:H2 Fuel Cell,demand:Haber-Bosch,demand:Sabatier,demand:hydrogen for highT industry,demand:hydrogen for mediumT industry,demand:methanolisation
1987baab,1987,b,a,a,b,500,60,max,0.05,2025,10.871895225968247,1.8666507041327167e-08,1018258828533.2661,-14.936830164953452,0.6092921936684446,210584892.11996493,26.36922105227349,0.02379539570090955,27.440370293802694,70443.66458267022,0.9996790324135529,431410.00980290363,86113.74712769807,429286.19815095415,99790.10001114084,0.01667674983486822,98096328.15993,32831214.52359,0.0,0.0,98750384.05797,0.0,0.0,141002340.98677,0.0
1987baab,1987,b,a,a,b,500,60,min,0.05,2030,-0.0,7.45392152010826e-11,944238762126.7648,,86.92106807316479,-0.0,24999999.99999497,0.4073574844807083,32.15478082981002,0.0,,558615.321821399,169417.70904662067,763628.2347644479,76584.00017013004,7624.024279703485,98096329.00981,32831214.46503,80000.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,500,60,max,0.05,2030,12.567221379568476,1.5786331032265822e-07,983061071828.761,-17.313866897501082,0.9096254999889745,358217025.92505246,24999999.999112394,0.015987340042038476,77.07778410723428,95126.73333017142,0.8408229657824529,570341.9992550374,251584.69169251926,784515.7013390774,76584.00000982577,354652.6874009903,98096328.04844,32831214.4999,80000.0,6757898.75581,218685473.51337,0.0,0.0,62414573.72721,0.0
1987baab,1987,b,a,a,b,500,60,min,0.05,2035,1.1387910888037354,37.95590680753383,1014401228263.2627,-3.197017446057669,0.9566615934761739,35988122.5286753,75000000.02754655,0.20410614260606424,75.15898204182882,9820.74880382625,0.692179297349492,903584.023525714,351732.58225022437,1415382.2358382642,40121.30004453762,77136.72805039794,94362885.74603,729513.09203,19450000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,500,60,max,0.05,2035,36.42922500448157,52.9106574952682,1016180186328.5872,-23.05590627653562,1.7988491012111338,2051248096.4681664,74999999.99609216,0.04512927073460171,281.766582766392,291504.090517816,0.7582422780607713,821310.9464811233,538701.8464371234,1363494.933153601,40121.300025640725,3544648.7212842605,77188847.86924,32831214.48624,19450000.0,65889512.86918,971711541.43205,0.0,0.0,47114953.43717,0.0
1987baab,1987,b,a,a,b,500,60,min,0.05,2040,22.411175519298705,746.9644798888879,1100849197339.9785,-2.651540516660987,1.0013893964633815,726924945.0469692,124999999.98210526,0.35196870017133997,249.81918188375985,193688.85578830756,0.6746228121482865,1063163.1003917912,453357.9335452472,2167599.8000470134,31807.90027649645,3630405.758335128,3898121.83578,470627.44758,39880000.0,123331652.29359,607121308.06545,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,500,60,max,0.05,2040,57.48519738443198,214.03848600511944,1103635817515.4531,-29.51929443766698,2.42996120228436,4372272519.912925,124999999.9985603,25100436.64788589,462.8343591098313,494641.78444740665,0.6916681387826802,1074756.011916685,575232.2117946716,2450178.858331628,31807.900015412175,8346058.490808198,36832165.40493,7940537.77095,39880000.0,123331652.29359,1636155989.96908,0.0,0.0,71841283.89636,0.0
1987baab,1987,b,a,a,b,500,60,min,0.05,2045,22.819634895007418,760.5784310472535,976292091441.6526,,96.17873052965167,70845277218.82352,200000000.00005466,0.5950846842145215,371.5583590486897,193688.8505918805,0.6869021626681481,1019792.1650555923,447835.49641759985,2165530.1667170282,31807.90007792847,3631886.1982759056,5804194.23867,0.0,64210000.0,214563285.49707,835147195.24973,0.0,0.0,49285954.21451,0.0
1987baab,1987,b,a,a,b,500,60,max,0.05,2045,51.37953376504145,273.42600470717355,1020389174368.629,-277.03462878192624,19.793701260869756,31796632482.691048,200016821.4659419,46234881.235160984,482.9034930627537,495028.2374832884,0.6169534713640124,1025657.6114688992,567308.2429397058,2448602.6668368,31920.617713864503,8413471.841661122,101886624.83714,10281101.43332,64210000.0,214563285.49707,1330210033.3257,1025113.41329,1101611.11128,5026997.95203,981695.97718
1987baab,1987,b,a,a,b,500,60,min,0.05,2050,21.269069238819522,708.8980777278549,894673426318.0945,,89.38046901786375,62422390372.86249,275000000.000079,8035572.437037328,393.8995526475276,193688.8505918805,0.6402148840090132,983605.8925527371,445931.5290596945,2145527.475665818,31807.900145168074,3631886.220467205,138803.73788,0.0,79300000.0,304105444.0116,578803786.86588,0.0,0.0,222029.44371,0.0
