scenario,SEQ,SEQCOST,CCCOST,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,co2seq,dac,elec_cap,elec_cf,total_onwind,total_offwind,total_solar
cbb,c,b,b,max,0.05,2035,19.695735048698126,2.739960663449847e-05,948643354601.1504,-21.19555594036219,1.4695435966576798,299999999.65564704,3.5536055910318884,167198.950136778,0.7247654725072752,690682.3762013938,416470.6352250605,1061367.8897470664
cbb,c,b,b,min,0.05,2040,2.0362916365402484,67.86947718320584,993223045764.4198,-3.8809185798613384,0.9729516241789717,500000000.3327959,59587504.4881239,19235.304286352843,0.6166318430817707,940825.5574481743,429890.47308452823,1568391.5904535367
cbb,c,b,b,max,0.05,2040,36.33053627328838,123.08043757153186,996274275229.4167,-24.524471065871577,1.7135330656336993,499999999.7118086,103935864.33672886,309035.2788892531,0.703024395683708,909540.7315900351,500984.09629261744,1719726.1478638467
cbb,c,b,b,min,0.05,2045,2.2733478392503748,75.77067846479305,898845576295.9948,,68.1244624292322,640768685.2752701,80601655.51002681,19226.81841451783,0.6887212735195236,891180.4728475161,421835.28502169886,1566312.058796048
cbb,c,b,b,max,0.05,2045,,,,,,,,,,,,
cbb,c,b,b,min,0.05,2050,1.9190928463116075,63.963362630080816,832364683634.6174,,68.11390677815174,729072838.3904307,91937707.63965195,19226.81841451783,0.581398080088689,842463.5902265634,411704.5300341551,1544535.5825219145
cbb,c,b,b,max,0.05,2050,,,,,,,,,,,,
acb,a,c,b,min,0.05,2025,-0.0,2.49347953874538e-11,976673596072.7456,,59.260475102459075,0.0,0.11490245656371743,0.0,,351505.5778038935,61977.83120612697,404457.5483761134
acb,a,c,b,max,0.05,2025,10.476458152152217,2.1841337238676836e-07,1013298779425.0516,-14.731791179553005,0.5651434691608044,0.5342724424435801,0.1771824367813245,67881.12892980086,0.9996838852676941,397373.84088192537,94866.08206402828,425453.9659603535
acb,a,c,b,min,0.05,2030,-0.0,2.9531640649385724e-11,945098835162.8749,,94.00390009325469,25000000.000070132,0.24279544204902342,0.0,,513440.7654294028,217539.12470045467,675732.8449735276
acb,a,c,b,max,0.05,2030,12.834647035705938,4.4005282117742083e-07,983511859835.3223,-18.4095958736366,1.1364759044311388,24999999.99780451,0.06540351148984917,97618.05323768954,0.8344604858105088,540057.5462570536,283989.59887226124,727732.5565501791
acb,a,c,b,min,0.05,2035,1.6129593991389297,53.75993625074125,1015881387495.3129,-3.3204278830113036,1.0016843600548953,75000000.00084877,0.41673864223557,14268.155649168788,0.6747994899034657,884977.1284302527,431646.6454578288,1179043.400551551
acb,a,c,b,max,0.05,2035,38.23985948633479,55.426673554748085,1017762494230.862,-22.579097176974244,1.7877635095910043,74999999.99001682,0.5787793432453201,318348.7811948831,0.7277470877307198,836794.2533155379,569371.380679689,1257293.3533809653
acb,a,c,b,min,0.05,2040,22.976902387008852,765.820156376548,1099741026299.7722,-3.039148423285604,1.0612977942148583,125000000.0060237,0.3246930566963564,202742.79818790348,0.6610786266672746,1025215.1661663998,502515.5177413771,1966382.5681758723
acb,a,c,b,max,0.05,2040,60.3680743054597,228.35863312118335,1103289189614.28,-33.23142874119944,3.0123416002340817,124999999.99827823,41590810.77372644,526125.2762717048,0.6826408616914547,1109065.2989498316,602540.5710225373,2382096.099969116
acb,a,c,b,min,0.05,2045,22.715681726285315,757.1136719915554,977080353230.3477,,94.74729478356694,200000000.0003345,627868.9675088837,202742.79597834096,0.6535552397461422,980287.9404541394,498069.4908715573,1969079.7522936342
acb,a,c,b,max,0.05,2045,53.75847652584053,236.58268151755843,1017779009030.7754,-159.4652761080945,10.993886975158636,199947858.32818562,56079008.9550024,526527.00066814,0.6068048547766646,1059981.4018695434,594624.7762559664,2380566.181955304
acb,a,c,b,min,0.05,2050,21.93029497927195,730.9367316571584,891161375564.4607,,91.8781857024322,275000000.0000564,21845687.430462174,202742.79597834096,0.630930542543985,938957.9962253554,507092.4585447805,2020394.7538612178
acb,a,c,b,max,0.05,2050,52.5775921903948,286.7787985260842,935715812303.6046,-46.64770372922282,2.927765531004352,274999999.9649145,69146810.28524764,462479.5569125757,0.6704374047876698,1011771.733327468,585633.3451916506,2356943.866581399
bcb,b,c,b,min,0.05,2025,-0.0,4.106149216080856e-11,976908637668.324,,59.2795515956312,0.0,0.41157368951139367,0.0,,351505.57806791994,61977.856092572954,404457.49416404055
bcb,b,c,b,max,0.05,2025,10.490424380793817,3.910953392877626e-08,1013365302874.343,-14.731082143208274,0.5649822131641721,4.887905392874018,0.01953623240338679,67971.57724326367,0.999684538614323,397526.9690281673,94864.20418125985,425455.54964018613
bcb,b,c,b,min,0.05,2030,-0.0,6.791221380340047e-10,943040683267.7383,,89.56655086726913,50000000.00182203,7.160990330259516,0.0,,508346.00197346,206779.50943201507,673290.255362313
bcb,b,c,b,max,0.05,2030,12.425713569592379,1.1504254947774362e-06,980992616512.767,-18.37754514492555,1.1194269629907034,49999999.9998822,0.17146926892255138,91828.35547436049,0.8616755077752639,533266.8390400625,270645.93584910076,721850.9888775594
